Time,bitfinex,bitflyer,bitstamp,btcchina,coinbase,huobi,kraken,lakebtc,okcoin,others,TOTAL
2015-01-01 00:00:00 UTC,2054762.961,,786633.0264,6150043.845,31755.80113,3263566.543,137093.6949,483190.8562,5622933.235,1302149.078,19832129.04
2015-02-01 00:00:00 UTC,1129858.873,,342730.2835,4896318.64,266207.3047,1802197.696,85178.38539,364296.7692,3619660.024,909770.6605,13416218.64
2015-03-01 00:00:00 UTC,1239084.888,,297214.4888,5203922.652,327850.7039,2323483.398,92533.97536,375382.5992,5019593.594,1019889.717,15898956.02
2015-04-01 00:00:00 UTC,733206.8657,,244921.3349,3494414.753,222447.4884,1605708.78,71024.84005,376904.4228,3435714.88,911090.1338,11095433.5
2015-05-01 00:00:00 UTC,476461.5211,,136316.1405,1616611.99,212729.8765,1068125.272,64532.06641,182600.9555,2557579.311,725663.3354,7040620.468
2015-06-01 00:00:00 UTC,592029.9919,9.953,222562.1295,617667.9201,200100.5049,1382019.381,88870.05698,263954.3737,2258186.168,943406.7135,6568807.192
2015-07-01 00:00:00 UTC,825955.6283,1404.324757,396686.3617,604209.557,230266.1001,1700839.501,122276.961,323927.1999,3208196.665,1331657.848,8745420.147
2015-08-01 00:00:00 UTC,707267.4814,2595.091928,418868.9394,592744.3459,240390.2701,1676439.158,171455.5517,451170.4951,4758772.361,1380902.648,10400606.34
2015-09-01 00:00:00 UTC,296294.19,9758.728063,569532.5765,539485.374,218694.7203,2380457.619,115728.182,445446.6654,3851112.831,1374171.245,9800682.131
2015-10-01 00:00:00 UTC,568317.2174,37071.47299,716414.5032,1143941.03,274014.0482,9838319.925,166837.486,820629.5557,11037810.7,1406329.456,26009685.4
2015-11-01 00:00:00 UTC,1638014.11,51728.64215,887623.8463,2053316.55,387873.7471,15562178.37,302405.4975,930249.4285,17217898.04,1885047.015,40916335.25
2015-12-01 00:00:00 UTC,1154275.866,65167.20744,418827.1956,3088052.391,478379.9151,43476176.77,229427.3424,1098141.145,31964504.25,1411138.218,83384090.3
2016-01-01 00:00:00 UTC,893544.9034,77095.22426,289462.5361,1718462.769,278729.8127,43505532.77,209876.9011,856404.6895,29948711.46,1880710.733,79658531.8
2016-02-01 00:00:00 UTC,643383.6577,62459.94363,216410.7987,1175027.95,226363.633,33282374.49,216065.6396,670626.5567,26062469.77,2993540.193,65548722.63
2016-03-01 00:00:00 UTC,416438.8856,103775.3162,156279.1894,1109674.424,241328.6504,73134413.95,298076.1482,1063733.395,70736350.81,1433350.369,148693421.1
2016-04-01 00:00:00 UTC,366066.768,245180.9145,121556.1032,756485.714,195444.1149,25511023.33,189672.904,634563.3804,28304778.2,1291573.54,57616344.98
2016-05-01 00:00:00 UTC,604055.3211,413494.8816,138829.7258,894430.7087,210878.2172,19763809.9,241507.672,589223.5496,22153799.48,930748.8403,45940778.3
2016-06-01 00:00:00 UTC,1677574.536,459346.2308,312774.4016,1530495.854,336709.0648,18712320.64,464691.535,882723.3507,34385198.22,1443069.394,60204903.23
2016-07-01 00:00:00 UTC,668094.8138,901955.257,130843.399,1732929.641,204024.8617,14095684.2,188992.3372,1060006.076,22583727.74,1080522.35,42646780.68
2016-08-01 00:00:00 UTC,188031.6326,456478.0252,160326.3679,2855124.803,180779.3084,9878182.128,195564.4555,663306.4731,19523715.42,979945.3036,35081453.92
2016-09-01 00:00:00 UTC,129753.7876,531462.7143,100441.4444,6791829.887,131675.3957,17002226.51,124052.3179,754565.1748,20447277.42,683234.8544,46696519.51
2016-10-01 00:00:00 UTC,195726.5123,798934.4668,114385.0036,29017871.1,143419.0084,40968420.91,152339.6535,1019989.364,42674092.24,573603.9068,115658782.2
2016-11-01 00:00:00 UTC,269794.6509,760767.4884,174993.6411,57884060.15,150740.6375,54593540.41,201797.5015,1112874.065,59671341.9,698014.146,175517924.6
2016-12-01 00:00:00 UTC,288299.8684,833330.4916,189592.1612,61706222.31,194651.6458,50677735.05,234589.5641,986970.53,55073464.87,804392.8795,170989249.4
2017-01-01 00:00:00 UTC,699569.8303,865885.3616,360865.0749,38513957.76,256950.8956,29715984.71,401139.1727,497343.582,35579604.35,1051892.676,107943193.4
2017-02-01 00:00:00 UTC,477722.6879,650460.9303,228468.4071,280638.794,192968.7289,254276.0512,286781.1427,63214.01021,410321.772,890091.6599,3734944.184
2017-03-01 00:00:00 UTC,1012152.121,582401.4731,366640.0067,226729.705,386756.7536,193922.9217,582082.3159,,379277.578,1319365.858,5049328.734
2017-04-01 00:00:00 UTC,419458.2359,243934.0236,188636.0579,160486.5716,248682.8466,123553.6726,301778.5846,,303230.704,943489.232,2933249.929
2017-05-01 00:00:00 UTC,740583.2841,422066.837,535696.751,482067.3406,625137.329,175903.2121,872844.5198,,733322.989,1643784.908,6231407.17
2017-06-01 00:00:00 UTC,645492.5622,336721.0607,514542.7911,390470.4768,602688.0999,,716152.1216,,509853.989,1196542.378,4912463.479
2017-07-01 00:00:00 UTC,940068.5453,460525.718,499543.743,351312.6894,475884.1891,,670890.9437,,434236.354,1295519.734,5127981.917
2017-08-01 00:00:00 UTC,944432.3102,405275.9548,432611.2257,499322.1617,486517.8881,,544443.1674,,588052.947,1097502.042,4998157.697
2017-09-01 00:00:00 UTC,1490809.045,555816.7376,603727.3494,300596.9131,511527.2848,,517220.39,,571515.55,1019951.961,5571165.231
2017-10-01 00:00:00 UTC,1341105.258,648158.5616,435538.7816,,404975.7072,,337791.1736,,92787.44,891739.0037,4152095.926
2017-11-01 00:00:00 UTC,2100417.391,737281.265,590921.671,,879739.3174,,430374.9965,,,1280662.067,6019396.708
2017-12-01 00:00:00 UTC,2211209.503,695088.9729,715476.9264,,1275295.522,,346981.0978,,,1348804.758,6592856.779
2018-01-01 00:00:00 UTC,1597840.081,532036.1781,598395.2154,,790262.2704,,448727.2375,,,1146081.42,5113342.403
2018-02-01 00:00:00 UTC,1880057.397,818750.8651,723672.9879,,963166.1343,,790505.1655,,,1094798.045,6270950.595
2018-03-01 00:00:00 UTC,1770752.217,713135.6557,612296.5229,,747471.2594,,764518.3691,,,999704.4122,5607878.437
2018-04-01 00:00:00 UTC,1256129.679,543239.6273,445692.5786,,481559.6201,,445426.2224,,,745476.7873,3917524.515
2018-05-01 00:00:00 UTC,813996.0367,401562.9958,359873.6678,,334031.0744,,299939.7476,,,813331.245,3022734.767
2018-06-01 00:00:00 UTC,701110.7207,257089.2101,281441.9865,,276579.5137,,276413.9613,,,753019.4224,2545654.815
